task,source_layer,target_rank,downstream_layer,distance,metric,clean_value,intervened_value,delta,abs_delta
sst2,0,4,5,5,stable_rank,2.070058349519968,1.0507343839854002,-1.0193239655345678,1.0193239655345678
sst2,0,4,5,5,mean_pairwise_cosine,0.474280446767807,0.94720175024122,0.472921303473413,0.472921303473413
sst2,0,4,5,5,attention_entropy,1.9212252125144005,2.9644057732075453,1.0431805606931448,1.0431805606931448
sst2,0,8,1,1,effective_rank,22.223249696195126,11.341840654611588,-10.881409041583538,10.881409041583538
sst2,0,8,1,1,stable_rank,3.1631225794553757,1.7102265562862158,-1.45289602316916,1.45289602316916
sst2,0,8,1,1,mean_pairwise_cosine,0.28139249072410166,0.5946298628114164,0.3132373720873147,0.3132373720873147
sst2,0,8,1,1,attention_entropy,1.6648044064640999,2.472836848348379,0.8080324418842793,0.8080324418842793
sst2,0,8,2,2,effective_rank,21.115412153303623,10.223250687122345,-10.892161466181278,10.892161466181278
sst2,0,8,2,2,stable_rank,2.2293835133314133,1.4207496549934149,-0.8086338583379984,0.8086338583379984
sst2,0,8,2,2,mean_pairwise_cosine,0.4059231160208583,0.7077757269144058,0.30185261089354753,0.30185261089354753
sst2,0,8,2,2,attention_entropy,1.6194153791293502,2.5667219907045364,0.9473066115751863,0.9473066115751863
sst2,0,8,3,3,effective_rank,19.632565714418888,9.045555792748928,-10.58700992166996,10.58700992166996
sst2,0,8,3,3,stable_rank,1.7442014180123806,1.2594047263264656,-0.484796691685915,0.484796691685915
sst2,0,8,3,3,mean_pairwise_cosine,0.5122592430561781,0.7748228297568858,0.2625635867007077,0.2625635867007077
sst2,0,8,3,3,attention_entropy,1.2889608200639486,2.312726741656661,1.0237659215927124,1.0237659215927124
sst2,0,8,4,4,effective_rank,17.060231760144234,7.101854383945465,-9.958377376198769,9.958377376198769
sst2,0,8,4,4,stable_rank,1.4501433949917555,1.1409152001142502,-0.3092281948775053,0.3092281948775053
sst2,0,8,4,4,mean_pairwise_cosine,0.5785202090628445,0.8368990947492421,0.25837888568639755,0.25837888568639755
sst2,0,8,4,4,attention_entropy,1.6850440111011267,2.6637712493538857,0.978727238252759,0.978727238252759
sst2,0,8,5,5,effective_rank,18.338236525654793,6.7213107496500015,-11.616925776004791,11.616925776004791
sst2,0,8,5,5,stable_rank,2.070058349519968,1.2275250162929296,-0.8425333332270384,0.8425333332270384
sst2,0,8,5,5,mean_pairwise_cosine,0.474280446767807,0.8360014231875539,0.3617209764197469,0.3617209764197469
sst2,0,8,5,5,attention_entropy,1.9212252125144005,2.782955477014184,0.8617302644997835,0.8617302644997835
sst2,0,16,1,1,effective_rank,22.223249696195126,17.21553711593151,-5.007712580263615,5.007712580263615
sst2,0,16,1,1,stable_rank,3.1631225794553757,2.372611381113529,-0.7905111983418465,0.7905111983418465
sst2,0,16,1,1,mean_pairwise_cosine,0.28139249072410166,0.40948979184031487,0.1280973011162132,0.1280973011162132
sst2,0,16,1,1,attention_entropy,1.6648044064640999,2.0971377454698086,0.4323333390057087,0.4323333390057087
sst2,0,16,2,2,effective_rank,21.115412153303623,16.227293834090233,-4.88811831921339,4.88811831921339
sst2,0,16,2,2,stable_rank,2.2293835133314133,1.8844176717102528,-0.3449658416211605,0.3449658416211605
sst2,0,16,2,2,mean_pairwise_cosine,0.4059231160208583,0.5102448649704456,0.10432174894958735,0.10432174894958735
sst2,0,16,2,2,attention_entropy,1.6194153791293502,2.0346173932775855,0.4152020141482353,0.4152020141482353
sst2,0,16,3,3,effective_rank,19.632565714418888,15.01484639942646,-4.617719314992428,4.617719314992428
sst2,0,16,3,3,stable_rank,1.7442014180123806,1.5509695187211037,-0.19323189929127693,0.19323189929127693
sst2,0,16,3,3,mean_pairwise_cosine,0.5122592430561781,0.5898495856672525,0.07759034261107445,0.07759034261107445
sst2,0,16,3,3,attention_entropy,1.2889608200639486,1.774232559837401,0.4852717397734523,0.4852717397734523
sst2,0,16,4,4,effective_rank,17.060231760144234,12.697093270719051,-4.363138489425182,4.363138489425182
sst2,0,16,4,4,stable_rank,1.4501433949917555,1.3173095621168613,-0.13283383287489414,0.13283383287489414
sst2,0,16,4,4,mean_pairwise_cosine,0.5785202090628445,0.6648150561377406,0.0862948470748961,0.0862948470748961
sst2,0,16,4,4,attention_entropy,1.6850440111011267,2.186863800510764,0.5018197894096375,0.5018197894096375
sst2,0,16,5,5,effective_rank,18.338236525654793,12.817442424595356,-5.520794101059437,5.520794101059437
sst2,0,16,5,5,stable_rank,2.070058349519968,1.7287225313484669,-0.34133581817150116,0.34133581817150116
sst2,0,16,5,5,mean_pairwise_cosine,0.474280446767807,0.6194986952468753,0.14521824847906828,0.14521824847906828
sst2,0,16,5,5,attention_entropy,1.9212252125144005,2.3379762936383486,0.4167510811239481,0.4167510811239481
sst2,0,32,1,1,effective_rank,22.223249696195126,21.682973220944405,-0.540276475250721,0.540276475250721
sst2,0,32,1,1,stable_rank,3.1631225794553757,3.066616076976061,-0.0965065024793148,0.0965065024793148
sst2,0,32,1,1,mean_pairwise_cosine,0.28139249072410166,0.2906709387898445,0.00927844806574285,0.00927844806574285
sst2,0,32,1,1,attention_entropy,1.6648044064640999,1.7261480577290058,0.06134365126490593,0.06134365126490593
sst2,0,32,2,2,effective_rank,21.115412153303623,20.759507283568382,-0.35590486973524094,0.35590486973524094
sst2,0,32,2,2,stable_rank,2.2293835133314133,2.2486042492091656,0.019220735877752304,0.019220735877752304
sst2,0,32,2,2,mean_pairwise_cosine,0.4059231160208583,0.40158439381048083,-0.004338722210377455,0.004338722210377455
sst2,0,32,2,2,attention_entropy,1.6194153791293502,1.6173026533797383,-0.0021127257496118546,0.0021127257496118546
sst2,0,32,3,3,effective_rank,19.632565714418888,19.385963052511215,-0.24660266190767288,0.24660266190767288
sst2,0,32,3,3,stable_rank,1.7442014180123806,1.7545072920620441,0.010305874049663544,0.010305874049663544
sst2,0,32,3,3,mean_pairwise_cosine,0.5122592430561781,0.5048892698250711,-0.0073699732311069965,0.0073699732311069965
sst2,0,32,3,3,attention_entropy,1.2889608200639486,1.3520467141643167,0.06308589410036802,0.06308589410036802
sst2,0,32,4,4,effective_rank,17.060231760144234,16.930375672876835,-0.12985608726739883,0.12985608726739883
sst2,0,32,4,4,stable_rank,1.4501433949917555,1.4523330722004175,0.002189677208662033,0.002189677208662033
sst2,0,32,4,4,mean_pairwise_cosine,0.5785202090628445,0.5743265533819795,-0.004193655680865049,0.004193655680865049
sst2,0,32,4,4,attention_entropy,1.6850440111011267,1.7428000383079052,0.057756027206778526,0.057756027206778526
sst2,0,32,5,5,effective_rank,18.338236525654793,17.981924541294575,-0.35631198436021805,0.35631198436021805
sst2,0,32,5,5,stable_rank,2.070058349519968,2.0638619735836983,-0.00619637593626976,0.00619637593626976
sst2,0,32,5,5,mean_pairwise_cosine,0.474280446767807,0.47827001847326756,0.003989571705460548,0.003989571705460548
sst2,0,32,5,5,attention_entropy,1.9212252125144005,1.9590979535132647,0.037872740998864174,0.037872740998864174
sst2,1,1,2,1,effective_rank,21.115412153303623,1.2661676090210676,-19.849244544282556,19.849244544282556
sst2,1,1,2,1,stable_rank,2.2293835133314133,1.0037974007427692,-1.225586112588644,1.225586112588644
sst2,1,1,2,1,mean_pairwise_cosine,0.4059231160208583,0.9961398541927338,0.5902167381718755,0.5902167381718755
sst2,1,1,2,1,attention_entropy,1.6194153791293502,3.0972974188625813,1.477882039733231,1.477882039733231
sst2,1,1,3,2,effective_rank,19.632565714418888,1.1799210887402296,-18.45264462567866,18.45264462567866
sst2,1,1,3,2,stable_rank,1.7442014180123806,1.0013546627014875,-0.7428467553108931,0.7428467553108931
sst2,1,1,3,2,mean_pairwise_cosine,0.5122592430561781,0.9984563998878002,0.4861971568316221,0.4861971568316221
sst2,1,1,3,2,attention_entropy,1.2889608200639486,3.1156600452959538,1.8266992252320051,1.8266992252320051
sst2,1,1,4,3,effective_rank,17.060231760144234,1.1281875185668468,-15.932044241577387,15.932044241577387
sst2,1,1,4,3,stable_rank,1.4501433949917555,1.0005940441042185,-0.449549350887537,0.449549350887537
sst2,1,1,4,3,mean_pairwise_cosine,0.5785202090628445,0.9992404179647565,0.420720208901912,0.420720208901912
sst2,1,1,4,3,attention_entropy,1.6850440111011267,3.11651099473238,1.4314669836312532,1.4314669836312532
sst2,1,1,5,4,effective_rank,18.338236525654793,1.1185296941548586,-17.219706831499934,17.219706831499934
sst2,1,1,5,4,stable_rank,2.070058349519968,1.0005609579384327,-1.0694973915815353,1.0694973915815353
sst2,1,1,5,4,mean_pairwise_cosine,0.474280446767807,0.9994716821238399,0.5251912353560328,0.5251912353560328
sst2,1,1,5,4,attention_entropy,1.9212252125144005,3.1089567206799984,1.187731508165598,1.187731508165598
sst2,1,2,2,1,effective_rank,21.115412153303623,2.4950641691684723,-18.62034798413515,18.62034798413515
sst2,1,2,2,1,stable_rank,2.2293835133314133,1.0791721567511559,-1.1502113565802574,1.1502113565802574
sst2,1,2,2,1,mean_pairwise_cosine,0.4059231160208583,0.925390194170177,0.5194670781493187,0.5194670781493187
sst2,1,2,2,1,attention_entropy,1.6194153791293502,2.957402838394046,1.3379874592646956,1.3379874592646956
sst2,1,2,3,2,effective_rank,19.632565714418888,2.180823963135481,-17.451741751283407,17.451741751283407
sst2,1,2,3,2,stable_rank,1.7442014180123806,1.0426210556179285,-0.7015803623944521,0.7015803623944521
sst2,1,2,3,2,mean_pairwise_cosine,0.5122592430561781,0.9560119742527604,0.4437527311965823,0.4437527311965823
sst2,1,2,3,2,attention_entropy,1.2889608200639486,2.9612079802900553,1.6722471602261066,1.6722471602261066
sst2,1,2,4,3,effective_rank,17.060231760144234,1.9224565271288157,-15.137775233015418,15.137775233015418
sst2,1,2,4,3,stable_rank,1.4501433949917555,1.0255674291402102,-0.42457596585154533,0.42457596585154533
sst2,1,2,4,3,mean_pairwise_cosine,0.5785202090628445,0.9712338056415319,0.39271359657868743,0.39271359657868743
sst2,1,2,4,3,attention_entropy,1.6850440111011267,3.0072263721376657,1.322182361036539,1.322182361036539
sst2,1,2,5,4,effective_rank,18.338236525654793,1.8949882052838802,-16.443248320370913,16.443248320370913
sst2,1,2,5,4,stable_rank,2.070058349519968,1.0291154645383358,-1.0409428849816322,1.0409428849816322
sst2,1,2,5,4,mean_pairwise_cosine,0.474280446767807,0.9706536512821913,0.49637320451438427,0.49637320451438427
sst2,1,2,5,4,attention_entropy,1.9212252125144005,2.999328948557377,1.0781037360429764,1.0781037360429764
sst2,1,4,2,1,effective_rank,21.115412153303623,5.672854527831078,-15.442557625472546,15.442557625472546
sst2,1,4,2,1,stable_rank,2.2293835133314133,1.206587877124548,-1.0227956362068653,1.0227956362068653
sst2,1,4,2,1,mean_pairwise_cosine,0.4059231160208583,0.8260316886007786,0.4201085725799203,0.4201085725799203
sst2,1,4,2,1,attention_entropy,1.6194153791293502,2.766781771555543,1.1473663924261928,1.1473663924261928
sst2,1,4,3,2,effective_rank,19.632565714418888,4.872040048241615,-14.760525666177273,14.760525666177273
sst2,1,4,3,2,stable_rank,1.7442014180123806,1.1205736994743347,-0.6236277185380459,0.6236277185380459
sst2,1,4,3,2,mean_pairwise_cosine,0.5122592430561781,0.8896601218730211,0.37740087881684303,0.37740087881684303
sst2,1,4,3,2,attention_entropy,1.2889608200639486,2.7198524735867977,1.430891653522849,1.430891653522849
sst2,1,4,4,3,effective_rank,17.060231760144234,3.9659566693007946,-13.094275090843439,13.094275090843439
sst2,1,4,4,3,stable_rank,1.4501433949917555,1.0648415107280016,-0.3853018842637539,0.3853018842637539
sst2,1,4,4,3,mean_pairwise_cosine,0.5785202090628445,0.9321868689730763,0.35366665991023183,0.35366665991023183
sst2,1,4,4,3,attention_entropy,1.6850440111011267,2.846571374684572,1.1615273635834455,1.1615273635834455
sst2,1,4,5,4,effective_rank,18.338236525654793,3.8208426237106323,-14.51739390194416,14.51739390194416
sst2,1,4,5,4,stable_rank,2.070058349519968,1.0738334488123655,-0.9962249007076025,0.9962249007076025
sst2,1,4,5,4,mean_pairwise_cosine,0.474280446767807,0.9331890316680074,0.45890858490020037,0.45890858490020037
sst2,1,4,5,4,attention_entropy,1.9212252125144005,2.885904222726822,0.9646790102124214,0.9646790102124214
sst2,1,8,2,1,effective_rank,21.115412153303623,10.72683072090149,-10.388581432402134,10.388581432402134
sst2,1,8,2,1,stable_rank,2.2293835133314133,1.4614203199744225,-0.7679631933569908,0.7679631933569908
sst2,1,8,2,1,mean_pairwise_cosine,0.4059231160208583,0.6779215368442237,0.27199842082336545,0.27199842082336545
sst2,1,8,2,1,attention_entropy,1.6194153791293502,2.424741795286536,0.805326416157186,0.805326416157186
sst2,1,8,3,2,effective_rank,19.632565714418888,9.583081617951393,-10.049484096467495,10.049484096467495
sst2,1,8,3,2,stable_rank,1.7442014180123806,1.2821971010416746,-0.462004316970706,0.462004316970706
sst2,1,8,3,2,mean_pairwise_cosine,0.5122592430561781,0.7652977216057479,0.25303847854956985,0.25303847854956985
sst2,1,8,3,2,attention_entropy,1.2889608200639486,2.2745007080957294,0.9855398880317807,0.9855398880317807
sst2,1,8,4,3,effective_rank,17.060231760144234,7.915975674986839,-9.144256085157394,9.144256085157394
sst2,1,8,4,3,stable_rank,1.4501433949917555,1.1592544447630644,-0.2908889502286911,0.2908889502286911
sst2,1,8,4,3,mean_pairwise_cosine,0.5785202090628445,0.8359047621488571,0.2573845530860126,0.2573845530860126
sst2,1,8,4,3,attention_entropy,1.6850440111011267,2.520525373518467,0.8354813624173403,0.8354813624173403
sst2,1,8,5,4,effective_rank,18.338236525654793,7.86692413687706,-10.471312388777733,10.471312388777733
sst2,1,8,5,4,stable_rank,2.070058349519968,1.239590497687459,-0.830467851832509,0.830467851832509
sst2,1,8,5,4,mean_pairwise_cosine,0.474280446767807,0.8276048181578517,0.3533243713900447,0.3533243713900447
sst2,1,8,5,4,attention_entropy,1.9212252125144005,2.636012364178896,0.7147871516644955,0.7147871516644955
sst2,1,16,2,1,effective_rank,21.115412153303623,16.802635490894318,-4.312776662409306,4.312776662409306
sst2,1,16,2,1,stable_rank,2.2293835133314133,1.915596691891551,-0.31378682143986225,0.31378682143986225
sst2,1,16,2,1,mean_pairwise_cosine,0.4059231160208583,0.4903859216719866,0.08446280565112829,0.08446280565112829
sst2,1,16,2,1,attention_entropy,1.6194153791293502,1.855065168812871,0.2356497896835208,0.2356497896835208
sst2,1,16,3,2,effective_rank,19.632565714418888,15.761340700089931,-3.8712250143289566,3.8712250143289566
sst2,1,16,3,2,stable_rank,1.7442014180123806,1.560275699943304,-0.18392571806907654,0.18392571806907654
sst2,1,16,3,2,mean_pairwise_cosine,0.5122592430561781,0.5903529939241707,0.07809375086799264,0.07809375086799264
sst2,1,16,3,2,attention_entropy,1.2889608200639486,1.5825467957183719,0.29358597565442324,0.29358597565442324
sst2,1,16,4,3,effective_rank,17.060231760144234,13.798060715198517,-3.262171044945717,3.262171044945717
sst2,1,16,4,3,stable_rank,1.4501433949917555,1.3414527401328087,-0.1086906548589468,0.1086906548589468
sst2,1,16,4,3,mean_pairwise_cosine,0.5785202090628445,0.6716156667098403,0.09309545764699578,0.09309545764699578
sst2,1,16,4,3,attention_entropy,1.6850440111011267,1.9640755988657475,0.2790315877646208,0.2790315877646208
sst2,1,16,5,4,effective_rank,18.338236525654793,14.5316596403718,-3.8065768852829933,3.8065768852829933
sst2,1,16,5,4,stable_rank,2.070058349519968,1.6693792138248682,-0.40067913569509983,0.40067913569509983
sst2,1,16,5,4,mean_pairwise_cosine,0.474280446767807,0.6132463472895324,0.13896590052172542,0.13896590052172542
sst2,1,16,5,4,attention_entropy,1.9212252125144005,2.1685655005276203,0.24734028801321983,0.24734028801321983
sst2,1,32,2,1,effective_rank,21.115412153303623,20.690030604600906,-0.4253815487027168,0.4253815487027168
sst2,1,32,2,1,stable_rank,2.2293835133314133,2.2055233400315046,-0.023860173299908638,0.023860173299908638
sst2,1,32,2,1,mean_pairwise_cosine,0.4059231160208583,0.41037491895258427,0.004451802931725979,0.004451802931725979
sst2,1,32,2,1,attention_entropy,1.6194153791293502,1.6219303850084543,0.0025150058791041374,0.0025150058791041374
sst2,1,32,3,2,effective_rank,19.632565714418888,19.32526756078005,-0.3072981536388397,0.3072981536388397
sst2,1,32,3,2,stable_rank,1.7442014180123806,1.7306181993335485,-0.013583218678832054,0.013583218678832054
sst2,1,32,3,2,mean_pairwise_cosine,0.5122592430561781,0.5163715067319572,0.004112263675779104,0.004112263675779104
sst2,1,32,3,2,attention_entropy,1.2889608200639486,1.294411283917725,0.005450463853776455,0.005450463853776455
sst2,1,32,4,3,effective_rank,17.060231760144234,16.865787237882614,-0.19444452226161957,0.19444452226161957
sst2,1,32,4,3,stable_rank,1.4501433949917555,1.444842679426074,-0.0053007155656814575,0.0053007155656814575
sst2,1,32,4,3,mean_pairwise_cosine,0.5785202090628445,0.585562885273248,0.007042676210403442,0.007042676210403442
sst2,1,32,4,3,attention_entropy,1.6850440111011267,1.6951523777097464,0.01010836660861969,0.01010836660861969
sst2,1,32,5,4,effective_rank,18.338236525654793,18.153584189713,-0.18465233594179153,0.18465233594179153
sst2,1,32,5,4,stable_rank,2.070058349519968,2.038238225504756,-0.03182012401521206,0.03182012401521206
sst2,1,32,5,4,mean_pairwise_cosine,0.474280446767807,0.48219043435528874,0.007909987587481737,0.007909987587481737
sst2,1,32,5,4,attention_entropy,1.9212252125144005,1.9371923748403788,0.01596716232597828,0.01596716232597828
sst2,2,1,3,1,effective_rank,19.632565714418888,1.2658259347081184,-18.36673977971077,18.36673977971077
sst2,2,1,3,1,stable_rank,1.7442014180123806,1.0035862047225237,-0.7406152132898569,0.7406152132898569
sst2,2,1,3,1,mean_pairwise_cosine,0.5122592430561781,0.9960768083110452,0.4838175652548671,0.4838175652548671
sst2,2,1,3,1,attention_entropy,1.2889608200639486,3.1061387844383717,1.817177964374423,1.817177964374423
sst2,2,1,4,2,effective_rank,17.060231760144234,1.1916819531470537,-15.86854980699718,15.86854980699718
sst2,2,1,4,2,stable_rank,1.4501433949917555,1.001498932018876,-0.4486444629728794,0.4486444629728794
sst2,2,1,4,2,mean_pairwise_cosine,0.5785202090628445,0.998323617503047,0.4198034084402025,0.4198034084402025
sst2,2,1,4,2,attention_entropy,1.6850440111011267,3.11685798317194,1.4318139720708132,1.4318139720708132
sst2,2,1,5,3,effective_rank,18.338236525654793,1.1723442077636719,-17.16589231789112,17.16589231789112
sst2,2,1,5,3,stable_rank,2.070058349519968,1.0011341534554958,-1.0689241960644722,1.0689241960644722
sst2,2,1,5,3,mean_pairwise_cosine,0.474280446767807,0.9988987417891622,0.5246182950213552,0.5246182950213552
sst2,2,1,5,3,attention_entropy,1.9212252125144005,3.1167886927723885,1.195563480257988,1.195563480257988
sst2,2,2,3,1,effective_rank,19.632565714418888,2.409749435260892,-17.222816279157996,17.222816279157996
sst2,2,2,3,1,stable_rank,1.7442014180123806,1.065249191597104,-0.6789522264152765,0.6789522264152765
sst2,2,2,3,1,mean_pairwise_cosine,0.5122592430561781,0.9332089507952332,0.42094970773905516,0.42094970773905516
sst2,2,2,3,1,attention_entropy,1.2889608200639486,2.9043151568621397,1.615354336798191,1.615354336798191
sst2,2,2,4,2,effective_rank,17.060231760144234,2.130112139508128,-14.930119620636106,14.930119620636106
sst2,2,2,4,2,stable_rank,1.4501433949917555,1.038407027721405,-0.41173636727035046,0.41173636727035046
sst2,2,2,4,2,mean_pairwise_cosine,0.5785202090628445,0.9569745026528835,0.378454293590039,0.378454293590039
sst2,2,2,4,2,attention_entropy,1.6850440111011267,2.982690582051873,1.2976465709507465,1.2976465709507465
sst2,2,2,5,3,effective_rank,18.338236525654793,2.1465284265577793,-16.191708099097013,16.191708099097013
sst2,2,2,5,3,stable_rank,2.070058349519968,1.0511701870709658,-1.0188881624490023,1.0188881624490023
sst2,2,2,5,3,mean_pairwise_cosine,0.474280446767807,0.95547563303262,0.48119518626481295,0.48119518626481295
sst2,2,2,5,3,attention_entropy,1.9212252125144005,3.0076827835291624,1.086457571014762,1.086457571014762
sst2,2,4,3,1,effective_rank,19.632565714418888,5.192255638539791,-14.440310075879097,14.440310075879097
sst2,2,4,3,1,stable_rank,1.7442014180123806,1.1469517275691032,-0.5972496904432774,0.5972496904432774
sst2,2,4,3,1,mean_pairwise_cosine,0.5122592430561781,0.863544749096036,0.35128550603985786,0.35128550603985786
sst2,2,4,3,1,attention_entropy,1.2889608200639486,2.67962683737278,1.3906660173088312,1.3906660173088312
sst2,2,4,4,2,effective_rank,17.060231760144234,4.322593964636326,-12.737637795507908,12.737637795507908
sst2,2,4,4,2,stable_rank,1.4501433949917555,1.0805668029934168,-0.3695765919983387,0.3695765919983387
sst2,2,4,4,2,mean_pairwise_cosine,0.5785202090628445,0.9173687361180782,0.3388485270552337,0.3388485270552337
sst2,2,4,4,2,attention_entropy,1.6850440111011267,2.8305719662457705,1.1455279551446438,1.1455279551446438
sst2,2,4,5,3,effective_rank,18.338236525654793,4.235040370374918,-14.103196155279875,14.103196155279875
sst2,2,4,5,3,stable_rank,2.070058349519968,1.09301233664155,-0.977046012878418,0.977046012878418
sst2,2,4,5,3,mean_pairwise_cosine,0.474280446767807,0.9183779358863831,0.44409748911857605,0.44409748911857605
sst2,2,4,5,3,attention_entropy,1.9212252125144005,2.9103652890771627,0.9891400765627623,0.9891400765627623
sst2,2,8,3,1,effective_rank,19.632565714418888,9.7440155595541,-9.888550154864788,9.888550154864788
